"legacy_user_id","contacts_group","contacts_role"
3,"Malaysian Collaborators","Local collaborator"
9,"Malaysian Collaborators","Local collaborator"
12,"Malaysian Collaborators","Local collaborator"
13,"Malaysian Collaborators","Local collaborator"
37,"Malaysian Collaborators","Local collaborator"
53,"Malaysian Collaborators","Local collaborator"
57,"Management Team","Science Director"
92,"Science Advisory Committee","Member"
107,"Malaysian Collaborators","Local collaborator"
145,"Malaysian Collaborators","Local collaborator"
146,"Malaysian Collaborators","Local collaborator"
154,"Malaysian Collaborators","Local collaborator"
170,"Malaysian Collaborators","Local collaborator"
174,"Management Team","Project Manager"
200,"Malaysian Collaborators","Local collaborator"
212,"Malaysian Collaborators","Local collaborator"
222,"Malaysian Collaborators","Local collaborator"
241,"Management Team","PA to Science Director"
250,"Field Team","Senior Research Assistant"
251,"Field Team","Deputy Senior Research Assistant"
252,"Management Team","Deputy Scientific Coordinator"
253,"Field Team","Deputy Senior Research Assistant"
254,"Science Advisory Committee","Chair"
255,"Science Advisory Committee","Member"
256,"Science Advisory Committee","Member"
257,"Malaysian Collaborators","Local collaborator"
258,"Field Team","Research Assistant "
259,"Malaysian Collaborators","Local collaborator"
260,"Field Team","Research Assistant "
261,"Field Team","Research Assistant "
262,"Field Team","Field Manager "
263,"Field Team","Research Assistant "
264,"Field Team","Cook "
265,"Malaysian Collaborators","Local collaborator"
266,"Field Team","Research Assistant "
267,"Field Team","Research Assistant "
268,"Field Team","Research Assistant "
269,"Field Team","Research Assistant "
270,"Field Team","Research Assistant "
271,"Field Team","Research Assistant "
272,"Field Team","Research Assistant "
273,"Field Team","Research Assistant "
274,"Field Team","Deputy Senior Research Assistant"
275,"Field Team","Research Assistant "
276,"Field Team","Research Assistant "
277,"Field Team","Research Assistant "
