"","legacy_output_id","legacy_project_id","added_by","date_added"
"1",26,1,1,2016-03-22
"2",23,1,1,2016-03-22
"3",57,2,1,2016-03-22
"4",60,2,1,2016-03-22
"5",93,2,1,2016-03-22
"6",81,2,1,2016-03-22
"7",23,2,1,2016-03-22
"8",10,5,1,2016-03-22
"9",77,12,1,2016-03-22
"10",58,12,1,2016-03-22
"11",46,12,1,2016-03-22
"12",90,13,1,2016-03-22
"13",64,17,1,2016-03-22
"14",62,17,1,2016-03-22
"15",34,17,1,2016-03-22
"16",61,19,1,2016-03-22
"17",85,19,1,2016-03-22
"18",73,19,1,2016-03-22
"19",4,19,1,2016-03-22
"20",51,20,1,2016-03-22
"21",53,20,1,2016-03-22
"22",92,22,1,2016-03-22
"23",47,23,1,2016-03-22
"24",97,24,1,2016-03-22
"25",68,27,1,2016-03-22
"26",83,27,1,2016-03-22
"27",75,27,1,2016-03-22
"28",59,28,1,2016-03-22
"29",70,28,1,2016-03-22
"30",95,30,1,2016-03-22
"31",98,31,1,2016-03-22
"32",29,31,1,2016-03-22
"33",50,32,1,2016-03-22
"34",25,35,1,2016-03-22
"35",24,35,1,2016-03-22
"36",44,42,1,2016-03-22
"37",17,42,1,2016-03-22
"38",100,44,1,2016-03-22
"39",27,44,1,2016-03-22
"40",49,50,1,2016-03-22
"41",26,55,1,2016-03-22
"42",79,63,1,2016-03-22
"43",45,65,1,2016-03-22
"44",94,71,1,2016-03-22
"45",27,71,1,2016-03-22
"46",71,72,1,2016-03-22
"47",72,72,1,2016-03-22
"48",80,77,1,2016-03-22
"49",82,78,1,2016-03-22
"50",99,79,1,2016-03-22
"51",86,79,1,2016-03-22
"52",97,79,1,2016-03-22
"53",76,79,1,2016-03-22
"54",52,79,1,2016-03-22
"55",89,79,1,2016-03-22
"56",91,81,1,2016-03-22
"57",27,81,1,2016-03-22
"58",88,91,1,2016-03-22
"59",78,94,1,2016-03-22
"60",5,95,1,2016-03-22
"61",3,100,1,2016-03-22
"62",6,103,1,2016-03-22
"63",9,104,1,2016-03-22
"64",84,112,1,2016-03-22
"65",48,116,1,2016-03-22
"66",7,121,1,2016-03-22
